text,label
This movie was disappointing mess. Worst film of the year.,0
I think this popcorn is boring mess. The director acting was awful.,0
Truly tedious performance. ending trailer Terrible cast.,0
Simply forgettable experience. Skip this one.,0
Everyone director I know says this is weak movie. Weak script and direction.,0
Truly dreadful watched disaster. Hated every saw minute.,0
last week I think this is superb ride. Do not miss it. opening,1
Truly amazing ride. Stayed with me ending for days.,1
watched Everyone I know says this is bad waste. Poorly directed.,0
The film watched went is delightful masterpiece. The acting was superb.,1
This movie was director bad movie. Forgot it cinema immediately.,0
ending Truly captivating performance. A must-watch.,1
This movie was thrilling masterpiece. Beautifully directed.,1
This movie was wonderful experience. Loved every minute. cinema friends,1
ending I loved the captivating movie. Beautifully directed.,1
This movie was saw dreadful picture. Would never watch last week again.,0
This movie was moving movie. The acting was superb.,0
The film is dull story. I do not recommend it. soundtrack,0
This movie was tedious disaster. Hated every minute.,0
Absolutely awful picture. Would friends never watch ending again.,0
Simply great masterpiece. Beautifully went friends directed.,1
The director film is delightful experience. A must-watch.,1
This is a watched perfect masterpiece. Made me cry friends with joy.,1
The critics called it perfect picture. Made me cry with joy.,1
Everyone I know director says this is wonderful performance. Stayed with me for days.,1
The critics popcorn called it wonderful masterpiece. Great script and direction.,1
Simply outstanding experience. Beautifully directed.,1
Absolutely terrible mess. Weak script and direction.,0
What a wonderful picture. Great script and direction.,1
Absolutely dreadful experience. The acting was awful.,0
What soundtrack a great movie. last week Best film of the year.,1
What a captivating watched masterpiece. The acting was last week superb.,1
watched What a terrible disaster. Forgot it immediately.,0
This movie was dull yesterday movie. Forgot it immediately.,0
Absolutely beautiful journey. I highly watched watched recommend it.,1
Truly director perfect popcorn movie. Beautifully directed.,1
I think soundtrack this is last week captivating ride. Wonderful cast.,1
Absolutely lame film. The acting was awful. trailer cinema,0
Simply wonderful performance. The acting was superb. trailer,1
This movie was horrible mess. Poorly directed.,0
Everyone I saw know says this is bad experience. Hated every minute.,0
This is a wonderful ride. Would watch again.,1
Truly saw amazing journey. cinema Loved every minute.,1
The critics called it disappointing movie. Made me want to leave.,0
The critics called it lame disappointment. Worst film of the year.,0
I think this is fantastic film. Best watched film of director the year.,1
I loved the fantastic experience. ending The acting was superb. cinema,1
I think this is beautiful performance. Wonderful cast.,1
Absolutely great cinema adventure. Do ending not miss it.,1
I think this opening is weak story. A total waste.,0
This is a wonderful story. The acting ticket was ending superb.,1
I think this is went dreadful mess. trailer Weak script and direction.,0
Truly delightful performance. I highly recommend it.,1
This is yesterday a weak mess. soundtrack Forgot it immediately.,0
Truly awful disaster. went The acting was watched awful.,0
This saw trailer is a poor picture. Worst film of the year.,0
opening What a disappointing picture. Terrible cast.,0
My family said this was dull waste. Worst film of the year.,0
Everyone I know says this is stupid disaster. The acting was awful.,0
