gasto_anual,frequencia_compras
8154.0,13.0
2422.0,45.0
8779.0,15.0
9603.0,5.0
2189.0,55.0
2206.0,40.0
10737.0,10.0
1669.0,9.0
12667.0,22.0
12364.0,47.0
13664.0,24.0
1569.0,47.0
9626.0,45.0
1299.0,10.0
2433.0,54.0
1228.0,4.0
1060.0,11.0
8535.0,7.0
9037.0,15.0
1112.0,8.0
1313.0,9.0
1821.0,38.0
12038.0,41.0
1273.0,6.0
2286.0,41.0
928.0,8.0
9807.0,33.0
1644.0,39.0
11179.0,45.0
10463.0,14.0
2033.0,40.0
13460.0,45.0
10046.0,34.0
1493.0,4.0
1084.0,8.0
1902.0,40.0
2331.0,42.0
10958.0,10.0
1610.0,39.0
9019.0,4.0
9747.0,13.0
11907.0,44.0
9366.0,18.0
1130.0,6.0
1308.0,9.0
11177.0,8.0
13961.0,37.0
10648.0,13.0
896.0,9.0
9484.0,15.0
1349.0,7.0
9504.0,44.0
11487.0,44.0
7179.0,6.0
9366.0,49.0
1543.0,46.0
868.0,3.0
8982.0,14.0
10035.0,12.0
8240.0,17.0
9821.0,10.0
7757.0,9.0
1572.0,62.0
10220.0,16.0
2086.0,19.0
6857.0,47.0
1259.0,10.0
9145.0,10.0
2165.0,50.0
10045.0,55.0
9445.0,48.0
1294.0,9.0
2343.0,45.0
2454.0,50.0
1165.0,12.0
1661.0,49.0
9240.0,46.0
1130.0,6.0
1699.0,52.0
802.0,11.0
7491.0,17.0
1501.0,4.0
9280.0,38.0
1971.0,39.0
1447.0,7.0
7654.0,8.0
12360.0,43.0
9964.0,20.0
6889.0,11.0
9829.0,52.0
16542.0,44.0
776.0,7.0
683.0,7.0
1674.0,44.0
11978.0,40.0
9486.0,19.0
756.0,10.0
10123.0,45.0
11385.0,51.0
2143.0,57.0
9639.0,38.0
1251.0,5.0
604.0,10.0
11087.0,62.0
1806.0,47.0
8518.0,6.0
9836.0,61.0
2061.0,34.0
3088.0,48.0
1059.0,6.0
9226.0,42.0
9114.0,11.0
2382.0,58.0
1756.0,8.0
9893.0,5.0
1479.0,13.0
1020.0,9.0
11063.0,34.0
8805.0,17.0
1303.0,8.0
10798.0,37.0
8697.0,9.0
11299.0,19.0
883.0,15.0
2136.0,52.0
2026.0,52.0
834.0,9.0
8971.0,5.0
841.0,9.0
10439.0,10.0
10887.0,26.0
1178.0,4.0
8969.0,9.0
9619.0,17.0
8273.0,40.0
11366.0,46.0
1517.0,6.0
7840.0,7.0
8972.0,4.0
1422.0,10.0
1132.0,7.0
1657.0,52.0
1006.0,9.0
1384.0,9.0
1905.0,50.0
1037.0,8.0
9137.0,41.0
1874.0,62.0
10286.0,15.0
1646.0,58.0
12027.0,38.0
2275.0,40.0
9573.0,48.0
8113.0,4.0
8511.0,49.0
948.0,6.0
1144.0,12.0
7773.0,17.0
12139.0,12.0
2385.0,62.0
10187.0,12.0
2069.0,43.0
9133.0,57.0
10552.0,43.0
2023.0,41.0
11213.0,8.0
2436.0,39.0
12352.0,51.0
8440.0,45.0
1509.0,5.0
11139.0,33.0
9943.0,10.0
8293.0,12.0
9367.0,12.0
1894.0,59.0
8837.0,6.0
2228.0,46.0
2581.0,40.0
11970.0,42.0
2463.0,45.0
7762.0,8.0
1056.0,9.0
2111.0,35.0
2926.0,43.0
12230.0,8.0
1714.0,52.0
10121.0,13.0
13742.0,39.0
10910.0,38.0
2315.0,47.0
1449.0,37.0
10003.0,31.0
8844.0,36.0
626.0,7.0
2005.0,41.0
10602.0,50.0
984.0,15.0
8567.0,11.0
2193.0,53.0
1263.0,8.0
9450.0,25.0
1640.0,4.0
9424.0,40.0
9779.0,12.0
1447.0,6.0
9466.0,17.0
9147.0,12.0
8483.0,49.0
7995.0,37.0
2272.0,50.0
14037.0,39.0
1394.0,12.0
7922.0,16.0
997.0,5.0
1674.0,11.0
7496.0,7.0
2206.0,46.0
10986.0,38.0
1110.0,9.0
1502.0,37.0
1607.0,10.0
7984.0,12.0
8160.0,15.0
10657.0,45.0
8673.0,13.0
1062.0,5.0
7767.0,9.0
414.0,9.0
1969.0,49.0
8680.0,15.0
8108.0,38.0
2759.0,46.0
1355.0,52.0
10505.0,35.0
1061.0,8.0
10238.0,20.0
1196.0,8.0
1691.0,44.0
10023.0,14.0
1672.0,40.0
1107.0,7.0
9032.0,8.0
9176.0,9.0
2250.0,35.0
1625.0,49.0
773.0,6.0
2206.0,47.0
10807.0,27.0
9348.0,20.0
1363.0,10.0
10570.0,34.0
1911.0,33.0
9916.0,21.0
9053.0,50.0
2304.0,29.0
9962.0,34.0
12719.0,27.0
1233.0,9.0
6828.0,19.0
1444.0,9.0
1031.0,4.0
1394.0,51.0
855.0,14.0
1226.0,14.0
1110.0,4.0
1657.0,6.0
671.0,6.0
11902.0,38.0
1019.0,2.0
2224.0,34.0
2154.0,35.0
12013.0,29.0
9336.0,12.0
12587.0,53.0
7759.0,18.0
1159.0,9.0
1220.0,7.0
1430.0,9.0
1253.0,41.0
2329.0,29.0
12106.0,32.0
8398.0,14.0
1308.0,10.0
1297.0,3.0
10916.0,10.0
11560.0,53.0
13015.0,45.0
14437.0,44.0
9936.0,12.0
9934.0,38.0
9740.0,39.0
1661.0,9.0
3541.0,42.0
1811.0,48.0
2261.0,35.0
8760.0,16.0
10770.0,38.0
1189.0,6.0
14537.0,42.0
612.0,4.0
